district,current_votes,total_votes,percent
Delaware at large,488270,488270,99
Florida’s 1st district,438389,468000,94
Florida’s 2nd district,328203,355000,92
Florida’s 3rd district,390349,433000,90
Florida’s 4th district,504915,519000,97
Florida’s 5th district,336912,384000,88
Florida’s 6th district,438231,468000,94
Florida’s 7th district,406331,447000,91
Florida’s 8th district,459871,495000,93
Florida’s 9th district,429208,439000,98
Florida’s 10th district,376507,389000,97
Florida’s 11th district,475023,506000,94
Florida’s 12th district,453069,468000,97
Florida’s 13th district,406531,448000,91
Florida’s 14th district,371998,407000,91
Florida’s 15th district,390684,415000,94
Florida’s 16th district,484121,492000,98
Florida’s 17th district,412310,436000,95
Florida’s 18th district,449616,475000,95
Florida’s 19th district,444840,469000,95
Florida’s 20th district,322354,356000,91
Florida’s 21st district,403171,433000,93
Florida’s 22nd district,402224,439000,92
Florida’s 23rd district,381091,416000,92
Florida’s 24th district,289965,327000,99
Florida’s 25th district,0,0,0
Florida’s 26th district,342588,359000,99
Florida’s 27th district,343276,369000,93
Georgia’s 1st district,324902,345000,94
Georgia’s 2nd district,273013,318000,86
Georgia’s 3rd district,369206,400000,92
Georgia’s 4th district,348209,383000,91
Georgia’s 5th district,354500,392000,90
Georgia’s 6th district,397104,428000,93
Georgia’s 7th district,371464,381000,97
Georgia’s 8th district,307985,340000,91
Georgia’s 9th district,372547,381000,98
Georgia’s 10th district,378238,404000,94
Georgia’s 11th district,405882,422000,96
Georgia’s 12th district,310100,343000,90
Georgia’s 13th district,359706,386000,93
Georgia’s 14th district,305068,307000,99
Hawaii’s 1st district,254433,260000,98
Hawaii’s 2nd district,271983,273000,99
Idaho’s 1st district,442705,403000,99
Idaho’s 2nd district,366665,371000,99
Illinois’s 1st district,315134,366000,86
Illinois’s 2nd district,289251,340000,85
Illinois’s 3rd district,295578,320000,92
Illinois’s 4th district,216807,236000,92
Illinois’s 5th district,351488,366000,96
Illinois’s 6th district,400710,400000,99
Illinois’s 7th district,303696,348000,87
Illinois’s 8th district,250094,255000,98
Illinois’s 9th district,356337,381000,94
Illinois’s 10th district,306680,323000,95
Illinois’s 11th district,304978,314000,97
Illinois’s 12th district,321197,357000,90
Illinois’s 13th district,328958,362000,91
Illinois’s 14th district,395786,388000,99
Illinois’s 15th district,322098,359000,90
Illinois’s 16th district,329871,350000,94
Illinois’s 17th district,296568,325000,91
Illinois’s 18th district,365984,389000,94
Indiana’s 1st district,326844,337000,97
Indiana’s 2nd district,297062,309000,96
Indiana’s 3rd district,325741,327000,99
Indiana’s 4th district,338407,339000,99
Indiana’s 5th district,416204,411000,99
Indiana’s 6th district,327692,338000,97
Indiana’s 7th district,282568,297000,95
Indiana’s 8th district,320523,337000,95
Indiana’s 9th district,358954,364000,99
Iowa’s 1st district,412731,454000,91
Iowa’s 2nd district,393672,441000,89
Iowa’s 3rd district,447563,468000,96
Iowa’s 4th district,382041,441000,87
Kansas’s 1st district,285836,294000,97
Kansas’s 2nd district,329253,334000,99
Kansas’s 3rd district,397886,387000,99
Kansas’s 4th district,308355,305000,99
Kentucky’s 1st district,328498,376000,87
Kentucky’s 2nd district,360388,393000,92
Kentucky’s 3rd district,367999,412000,89
Kentucky’s 4th district,382480,408000,95
Kentucky’s 5th district,298470,337000,89
Kentucky’s 6th district,378392,407000,95
Louisiana’s 1st district,374369,396000,95
Louisiana’s 2nd district,316982,368000,86
Louisiana’s 3rd district,340120,381000,89
Louisiana’s 4th district,306578,360000,85
Louisiana’s 5th district,309556,366000,85
Louisiana’s 6th district,373996,396000,94
Maine’s 1st district,352234,453000,78
Maine’s 2nd district,325870,406000,80
Maryland’s 1st district,392351,411000,95
Maryland’s 2nd district,312130,354000,88
Maryland’s 3rd district,356833,385000,93
Maryland’s 4th district,345118,364000,95
Maryland’s 5th district,389973,408000,96
Maryland’s 6th district,339150,378000,90
Maryland’s 7th district,316413,360000,88
Maryland’s 8th district,365707,409000,89
Massachusetts’s 1st district,255522,340000,75
Massachusetts’s 2nd district,372230,394000,94
Massachusetts’s 3rd district,253302,349000,73
Massachusetts’s 4th district,363910,428000,85
Massachusetts’s 5th district,373670,419000,89
Massachusetts’s 6th district,404974,450000,92
Massachusetts’s 7th district,150204,302000,50
Massachusetts’s 8th district,261515,383000,68
Massachusetts’s 9th district,417726,439000,95
Michigan’s 1st district,417472,430000,97
Michigan’s 2nd district,401810,409000,99
Michigan’s 3rd district,402570,416000,97
Michigan’s 4th district,374052,388000,96
Michigan’s 5th district,362929,387000,94
Michigan’s 6th district,378433,395000,96
Michigan’s 7th district,387270,402000,96
Michigan’s 8th district,428344,443000,98
Michigan’s 9th district,401085,420000,95
Michigan’s 10th district,410096,423000,97
Michigan’s 11th district,450372,466000,97
Michigan’s 12th district,383868,400000,96
Michigan’s 13th district,282745,314000,90
Michigan’s 14th district,334796,377000,89
Minnesota’s 1st district,368468,399000,92
Minnesota’s 2nd district,423070,443000,96
Minnesota’s 3rd district,438580,457000,96
Minnesota’s 4th district,384257,419000,92
Minnesota’s 5th district,396776,427000,93
Minnesota’s 6th district,413622,427000,97
Minnesota’s 7th district,352058,395000,89
Minnesota’s 8th district,393058,421000,93
Mississippi’s 1st district,317907,342000,93
Mississippi’s 2nd district,252873,321000,79
Mississippi’s 3rd district,296214,357000,83
Mississippi’s 4th district,254359,284000,90
Missouri’s 1st district,311357,352000,88
Missouri’s 2nd district,443762,467000,95
Missouri’s 3rd district,406861,417000,98
Missouri’s 4th district,362526,375000,97
Missouri’s 5th district,350238,362000,97
Missouri’s 6th district,387809,390000,99
Missouri’s 7th district,363839,357000,99
Missouri’s 8th district,329996,350000,94
Montana at large,598549,590000,99
Nebraska’s 1st district,316200,310000,99
Nebraska’s 2nd district,332727,323000,99
Nebraska’s 3rd district,286623,299000,96
Nevada’s 1st district,207620,244000,85
Nevada’s 2nd district,382023,405000,94
Nevada’s 3rd district,395111,404000,98
Nevada’s 4th district,317168,344000,92
New Hampshire’s 1st district,400595,432000,93
New Hampshire’s 2nd district,386329,418000,93
New Jersey’s 1st district,359764,376000,96
New Jersey’s 2nd district,340633,373000,91
New Jersey’s 3rd district,407398,424000,96
