state,total_votes
Delaware,504010
District of Columbia,309190
Florida,11075446
Georgia,4992709
Hawaii,574341
Idaho,868125
Illinois,5936521
Indiana,3034598
Iowa,1687871
Kansas,1334330
Kentucky,2135193
Louisiana,2148062
Maine,786337
Maryland,2878666
Massachusetts,3482407
Michigan,5533239
Minnesota,3272487
Mississippi,1197153
Missouri,3010316
Montana,605738
Nebraska,942480
Nevada,1346514
New Hampshire,804453
New Jersey,4187668
New Mexico,921398
New York,6720336
North Carolina,5513240
North Dakota,361808
Ohio,5764587
Oklahoma,1560699
Oregon,2356788
Pennsylvania,6848632
Rhode Island,513602
South Carolina,2513329
South Dakota,422609
Tennessee,3049514
Texas,11255671
Utah,1448493
Vermont,367761
Virginia,4442598
Washington,4033774
West Virginia,790253
Wisconsin,3297174
Wyoming,276765
Alabama,2309900
Alaska,334789
Arkansas,1211793
California,16308413
Colorado,3254844
Connecticut,1821889
United States,153733485
Arizona,3384972
