state,total_votes
Delaware,490935
Georgia,4946077
Idaho,858856
Illinois,5842030
Iowa,1669815
Kansas,1330054
Kentucky,2134725
Louisiana,2071543
Maine,761847
Massachusetts,3359282
Michigan,5465110
Minnesota,3214967
Mississippi,1190103
Montana,602736
Nebraska,895600
New Hampshire,795603
New Jersey,4084680
New Mexico,914704
North Carolina,5432052
Oklahoma,1556361
Oregon,2306501
Rhode Island,492178
South Carolina,2512810
South Dakota,420219
Tennessee,2941711
Texas,11081312
Virginia,4379388
West Virginia,778029
Wyoming,270866
Alabama,2303212
Alaska,332448
Arizona,3353864
Arkansas,1187034
Colorado,3234808
Georgia,4908113
